,회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,부실기업여부
208,하이록코리아,2014,54.76276664,70.31679927,15.02862031,539.2195971,63.17686266,0
209,리더스코스메틱,2014,20.27331582,29.04372136,20.05293053,293.7416056,123.72644790000001,0
210,케이지이니시스,2014,20.90632987,21.54967117,4.349057548,171.69995219999998,97.42256284,0
211,리드코프,2014,36.66411678,25.44143728,6.768107531,150.9394391,54.58728171,0
212,부방,2014,15.25768606,58.40777979999999,7.731066094,361.1302438,162.8975467,0
213,국영지앤엠,2015,24.08842085,29.64703245,-1.6311798309999999,432.22320769999993,62.95010474,0
214,웹젠,2015,37.49926349,25.4783619,26.57777417,361.5358833,87.23639453,0
215,나스미디어,2015,38.6867316,30.64002969,8.250248547,196.3010751,32.09596545,0
216,컴투스,2015,75.44561807,48.61856644,27.97930021,795.9170709,74.47111538,0
217,아난티,2015,11.70562682,9.469159432,5.430388661,204.59495780000003,22.728009399999998,0
218,리노공업,2015,50.85498894,90.74677132,19.11957131,1848.1422329999998,52.81671169,0
219,아미코젠,2015,21.8362535,15.18866394,1.9201308469999998,322.2790311,20.30565145,0
220,클리오,2016,42.97151189,17.245133600000003,11.58785331,241.01209590000002,80.31369211,0
221,톱텍,2016,22.73507814,21.39353274,9.851145073,166.7760702,83.41435716,0
222,주성엔지니어링,2016,15.24671962,-10.92978967,11.07559658,182.18018930000002,81.83239998,0
223,지엔코,2016,11.42544563,5.976139077000001,0.612885659,408.3149515,51.472769,0
224,인터플렉스,2016,14.610377800000002,4.218441885,-15.03940945,241.12885609999998,133.51860990000003,0
225,코스맥스엔비티,2016,12.35675193,16.26604786,11.76517578,182.1347146,66.0035875,0
226,하림지주,2017,-6.858878194,12.27059883,0.11561101300000001,175.00981399999998,98.58454081,0
227,인터플렉스,2017,26.88294875,9.567539099,5.526405989,280.9981775,145.3205058,0
228,이오테크닉스,2017,40.98750352,63.323756499999995,11.51558879,568.9772165,92.17200902,0
229,에코프로,2017,-3.23725053,-2.467454189,0.108770467,169.9189566,73.41643343,0
230,비에이치아이,2017,-20.12970386,12.37213755,4.636398379,135.9146024,76.8060393,0
231,지씨셀,2017,71.43197462,12.20774087,2.9811938789999997,787.1844272000001,82.73106209999999,0
232,나스미디어,2017,22.05565689,22.69510124,8.119268982000001,167.8914236,38.06581023,0
233,비덴트,2017,19.10164547,41.16228204,-2.605481205,686.8710683999999,14.61636642,0
234,아난티,2017,-6.932278922,11.18227981,-1.032616596,182.72385549999998,20.59958161,0
235,유진테크,2017,47.50488267,85.23537547,11.82890417,767.1176065000001,48.95844491,0
236,씨제이프레시웨이,2017,-0.6916321529999999,3.7778619989999997,4.3183526930000005,135.2951397,277.4533389,0
237,스튜디오드래곤,2018,27.12682367,13.203037699999998,6.391318142,461.22859819999996,74.0876464,0
238,에코프로,2018,1.870011237,3.4806574219999997,1.621424224,153.2214832,100.2835011,0
239,에스티큐브,2018,78.89375577,-30.12761492,-6.938530217,294.3477611,18.89165359,0
