회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,부실기업여부
웹젠,2011,18.88061922,0.460055542,0.681979711,311.5183725,37.91710532,0
에스에프에이반도체,2011,-8.721683517,4.682526146,3.749957562,158.6291759,77.31599694,0
파트론,2011,2.570604179,33.77432221,12.52244739,191.6844473,143.2321547,0
시그네틱스,2011,-13.73266976,21.40548118,8.140036017,247.0271813,110.3900259,0
유진기업,2011,17.92085028,8.485840389,-0.526022401,145.495404,45.35047748,0
아이씨디,2011,47.16273627,22.32304457,22.66274477,266.3281849,99.65895685,0
크루셜텍,2011,9.668751192,16.32930215,6.091782972,185.0197283,94.32699758,0
이오테크닉스,2011,25.81030712,37.42634098,5.10760468,325.3308724,59.47949718,0
멀티캠퍼스,2011,74.46098417,55.92080411,4.401604826,1167.617569,68.06407466,0
비에이치아이,2011,12.13788767,21.61052718,4.366033243,135.7017271,66.0885277,0
와이지엔터테인먼트,2011,66.78678958,28.6010182,17.03865279,645.0696069,86.41476223,0
톱텍,2011,31.9804183,34.6930333,18.42592231,317.0210195,150.1572036,0
삼표시멘트,2011,-35.84227767,-3.695514579,-1.68593903,151.90187,37.46522182,0
제이브이엠,2011,-9.743398464,11.3953105,10.94223787,158.1251501,40.42743618,0
폴라리스오피스,2011,40.00433877,10.80072264,4.541283059,338.6774148,33.86247815,0
휴맥스,2011,34.20219841,8.820470057,3.170376202,206.5308997,129.6384428,0
해성산업,2011,8.097573503,40.42279819,2.548792606,924.7943521,9.131882944,0
케이티알파,2011,25.9795409,-22.81095513,-4.786028094,359.963359,185.41309,0
드래곤플라이,2011,-6.312745152,46.19146137,8.919423324,326.0704909,32.88369232,0
삼에스코리아,2012,14.09416305,-17.96080324,5.478783253,242.7564814,61.78216001,0
인탑스,2012,16.73398754,53.34337117,4.520151842,260.3006433,180.5677394,0
케이지모빌리언스,2012,29.83350943,19.73050009,5.72736068,159.9140808,36.14649401,0
모다이노칩,2012,45.58253116,71.16959882,17.75291271,456.6297471,68.35974199,0
이라이콤,2012,28.85809305,39.86822115,13.91712573,218.2536305,226.4349615,0
다날,2012,5.838876495,1.06649687,3.200054812,134.6928265,38.91752343,0
아이씨디,2012,53.39613966,35.69574172,11.07710658,584.8953187,68.99739611,0
아이디스,2012,41.13479886,30.2965293,26.31084108,353.0017735,122.9579081,0
코나아이,2012,10.44428019,32.58335746,10.94624025,222.399596,70.6524261,0
동성화인텍,2012,-18.03697643,6.06062031,5.23081014,133.3103845,80.69049495,0
제닉,2012,43.15363994,42.60195586,12.58430586,834.145302,142.8606419,0
이녹스,2012,9.038677375,26.53930167,13.43641402,206.8580281,96.57035757,0
이엠텍,2012,30.97218138,32.18811077,8.270467974,200.2911113,246.7700919,0
엘비세미콘,2012,-0.240846394,16.01850741,10.0604291,177.5448325,63.22033146,0
진성티이씨,2012,23.91497654,19.12662529,5.488973284,141.331961,80.22099939,0
마크로젠,2012,45.51224362,4.247532737,6.525569414,270.0722458,53.73760426,0
